texto,fecha,usuario
"@brunitodesvd @clara24597188 @herezeq yo no votaría a macri. yo no votaría a quien ahuyenta a creadores de empleos, quien es amiga de dictadores, quien libera delincuentes, quien crea un clima anti capitalista que deprime el valor del peso y compra votos destruyéndolo con déficits monstruosos.",2021-10-18 23:59:59 UTC,Observe48331347
"rt @ignaziololo1: tenían la bola de cristal el 15/07/2018
no se descubrió hasta 2019 y no se nombró hasta el 11 de febrero de 2020. ¿no es fascinante? ¿los asesoró tu sam?
aquí la fecha de fabricación impresa por computadora en la solapa de la caja 👇👇👇👇👇 https://t.co/w1awmsbbi4",2021-10-18 23:59:59 UTC,Bissiii8
"rt @parrawilmaryvs: q una mujer te escriba una carta ok, pero unn hombreee, wtfff dónde me consigo a uno de esos???",2021-10-18 23:59:59 UTC,Isx_bx_lx
"al final no cambian mas, q bronca",2021-10-18 23:59:59 UTC,Cabritoo_Marso
"@dalton_tw escribió un #haiku inesperado🌸:

dale enero que\ 
te haces desear tanto\ 
hijo de puta

https://t.co/zdkfzldrfg
#poesia #artecomputacional #poesiaautomatica",2021-10-18 23:59:59 UTC,Haikultor
@rosa_blindada yo también tenía una así... que le pasaba !!!,2021-10-18 23:59:59 UTC,mejorespecado
"rt @centrofidel: #fidel:""el conocimiento no solo es una necesidad del pensamiento y de la cultura, sino también es una necesidad revolucionaria de cualquier pueblo conocer su historia y conocer la historia del mundo"". @biblionaccuba #fidelvive #cubaescultura #bncjm_aniversario120 https://t.co/gomk4aynqe",2021-10-18 23:59:59 UTC,iroelsanchez
jajajajajajajajajajajajaja https://t.co/9ag07mkua2,2021-10-18 23:59:59 UTC,miaranda9898
@_sopeland aqui tienes a la mejor yoonginista,2021-10-18 23:59:59 UTC,iY0ND4N
rt @alertanews24: 🇨🇦 | ahora - coronavirus: la ciudad de vancouver anunció hoy que todo el personal de la ciudad debe estar completamente vacunado contra covid-19 antes del 6 de diciembre de 2021.,2021-10-18 23:59:59 UTC,R_VelaG
@arvelaizraquel buenas noches bella raquel.,2021-10-18 23:59:59 UTC,ungeniodetales
o sea que el futbolista del real madrid era rodrigo y juega en el atlético. min chequear info que aparece hasta en wikipedia que nefastos de mierda.,2021-10-18 23:59:59 UTC,world_lyp
rt @marianvillalbva: ?quien para bajarnos tres termos de terere y estos budines ¿ https://t.co/amytr7idum,2021-10-18 23:59:59 UTC,Abril_quevedooo
rt @isoyreloca: salir a caminar con alguien y charlar me parece un re planazo,2021-10-18 23:59:59 UTC,GiuliBenaventos
"rt @ponte_pila: para fortalecer la salud de toda la familia, hoy realizamos nuestra 8ª carrera 3k o marcha 900mts. #pontepila, en la colonia el caracol de la alcaldía venustiano carranza, donde brindamos a niñas,niños,jóvenes y adultos diferentes alternativas físicas y recreativas #saludentuvida https://t.co/l6nu2ebdim",2021-10-18 23:59:59 UTC,AndreaR34201958
rt @martinarojass_: la noche pa dormir de a 2,2021-10-18 23:59:59 UTC,guzmanju_
diablo estoy enamorado de cazzu,2021-10-18 23:59:59 UTC,EmilioMrcxds
"resultados.

pareja #023 y #114

#023 aprobado.

#114 eliminado.",2021-10-18 23:59:59 UTC,squidroyaI
rt @thaubyfernando: ¿qué estarán pensando los que votaron apruebo?,2021-10-18 23:59:59 UTC,sebabecerraa
@pepe_takilla lewan parece que juega baloncesto🥴🥴,2021-10-18 23:59:59 UTC,enriquesimons27
"rt @acciona: los pódiums están bien 🥉 pero las victorias...🥇el @accionasainz compite por ganar la carrera contra la crisis climática y está cerca de lograrlo. ¡vamos, @laiasanz_ y @csainz_oficial! 

#islandxprix #drivenbynature https://t.co/ar5fatpy7r",2021-10-18 23:59:59 UTC,GabrielAranda77
nunca termino la media  con suerte debe saber leer https://t.co/pffigcgzjs,2021-10-18 23:59:59 UTC,Orlando00179839
rt @migueldiazok1: 🔥decisión histórica: la justicia española ordenó retirar libros lgbt de escuelas,2021-10-18 23:59:59 UTC,albanelyrengel
"@adolfop_oficial @nicolasmaduro !el triunfo en lara es nuestro!
!activada la maquinaria del psuv! 
!el #21nv vamos con todo!",2021-10-18 23:59:59 UTC,anyelo_pacheco1
"rt @chocolateespes0: el jg de ccs @nahumpsuv alzo su voz junto a la voz del pueblo en solidaridad con alex saab, quien fue secuestrado por eeuu.""los enemigos de la patria no entienden que este pueblo no se rinde ni en las más adversas de las condiciones""¡liberen a alex saab!
@nicolasmaduro @dcabellor https://t.co/amwgh8xwbe",2021-10-18 23:59:59 UTC,Heryrevidice
"@gavi42216546 pero

salsa nooooo mipotooo https://t.co/gzdclmj9e9",2021-10-18 23:59:59 UTC,TSushineM
mi cuenta es re hot q dices https://t.co/gf7aosczrr,2021-10-18 23:59:59 UTC,valexlou
"rt @kurasariki1: @angelamariazt @juanapostre no sé de qué hablas y por qué por conocer a juana postre dices que soy perfil falso. no las evita, y por ende discrepo ya que se supone que los trinos que se comparten son para aportar y discutir, no para monólogos. nadie creerá eso de los perfiles falsos, menos en campaña",2021-10-18 23:59:59 UTC,Malpica9Erick
@togata_kun @sneiderrueda7 @sobamask6 @zabuzacraftb jajajaha es lo mas estúpido que escuchado 🤣🤣,2021-10-18 23:59:59 UTC,Arekushisu09
esto lo subi anoche veanlo 🥺 https://t.co/h4qgvikxfa,2021-10-18 23:59:59 UTC,suarezhumility
"rt @eskol69903: mientras que dirigentes sociales trataban de ingresar al ex congreso y exigían la libertad de los presos de la revuelta, este angelito montado sobre la reja destruía el citófono a vista y paciencia de todos. 
destruyendo no avanzamos, agrediendo e insultando no avanzamos.!! https://t.co/9qkghjnh6i",2021-10-18 23:59:59 UTC,marceloalonsoh
rt @actualidadrt: maduro habla sobre el impacto del caso del diplomático alex saab https://t.co/dodegvgnpl,2021-10-18 23:59:59 UTC,ABAJO_COMUNISMO
"me tengo que sentar a hacer dos informes, todo es dolor y sufrimiento",2021-10-18 23:59:59 UTC,CamilaAguirrez1
"rt @donizquierdo_: ¿a cuantos nos gustaría ver a abelardo de la espriella cantando, pero en una prisión de estados unidos?

allá si lo ponen a cantar “oh sole mío” 🎤 🎶",2021-10-18 23:59:59 UTC,Gustavo73199212
rt @tincholopez309: @elchompi1902 @robertogramajo es muy importante,2021-10-18 23:59:59 UTC,robertogramajo
"rt @tamara_suju: #venezuela. mauro alexis bracho suarez es el nuevo jefe x parte del ministerio de asuntos penitenciarios en el #dgcim boleita, custodia compartida x dgcim x supuesto, queriendo engañar a incautos sobre las celdas de tortura de toda la vida, ahora custodiadas x este ministerio.👇 https://t.co/pawmhfegps",2021-10-18 23:59:59 UTC,nuevoidealvenez
rt @indirectasrock: necesito miles de mimos (todos tuyos).,2021-10-18 23:59:59 UTC,Araceli51231000
"rt @barbalauraelena: -se murió la  chichona de la tienda.
-que tenía?
-pues unas chichotas y una tienda!!
🏃🏃🏃🏃ok me voy, buenas noches amigos.
😁",2021-10-18 23:59:59 UTC,JulioFe59016893
"rt @presidencia_ve: ""la justicia llega aunque implique una larga lucha que vale la pena dar"", aseguró presidente @jguaido https://t.co/rct7bgaqjd https://t.co/uvfkopl3hz",2021-10-18 23:59:59 UTC,WilliansLinare
rt @indirectasrock: necesito miles de mimos (todos tuyos).,2021-10-18 23:59:59 UTC,Nathalia_romo20
"rt @laredtv: la misma cadem que pone a kast sobre boric, daba como ganador a lavín a un mes de las primarias https://t.co/orji2l73ci",2021-10-18 23:59:59 UTC,Ignaciovila16
@raulbarreragt los políticos de ahora con una mano en la biblia y rezando y con la otra conspirando y robando. ya lo de guatepeor se quedó corto.,2021-10-18 23:59:59 UTC,JohaoLantos
el profesor grabó la clse donde ecplico lo de los radicales dea me salve me salve,2021-10-18 23:59:59 UTC,lialbedumb
rt @indirectasrock: necesito miles de mimos (todos tuyos).,2021-10-18 23:59:59 UTC,paulimarin6
"@cooperativa gobierno de cagones , cobardes culiaos !",2021-10-18 23:59:59 UTC,Deus_scel
halloween vibes já https://t.co/vfyyuonhop,2021-10-18 23:59:59 UTC,SopranaFelipe
"@andrs1048131640 @hernandoarango7 yo no lo digo, lo dice hugo carvajal. https://t.co/sdhvialscw",2021-10-18 23:59:59 UTC,IglesiasJulio87
"rt @ppteamrafa: comenten su emoji favorito 👀,",2021-10-18 23:59:59 UTC,AngieTatianaO11
@alexagomezdos una palabra: conchupancia (la joyita me tiene bloqueado).,2021-10-18 23:59:59 UTC,rponce66
bambam cevichero chau jajajja https://t.co/34geewrsmv,2021-10-18 23:59:59 UTC,dulceloey
"rt @jok_ase: ustedes eran muy chicos. pero los mismos que inauguran barcos sin hélices, compraban trenes oxidados. https://t.co/clhdeqbwhw",2021-10-18 23:59:59 UTC,LaBelgrana
@sooyatto lirio.,2021-10-18 23:59:59 UTC,flwforji
@bigotes41582488 @sin24horas @victorsancz @jrserie23 @marizan_rafael @delvyslanfranco @deyaniragomezh @manuelrojasrod @amilcardr @aneudydeleonm y no fues a visitar a su hermano en najayo,2021-10-18 23:59:59 UTC,RonaldD83408363
"rt @funcionobjetivo: hoy revisamos la cuenta twitter de rafael lópez aliaga @rlopezaliaga1 , candidato a la alcaldía de lima, para saber a qué usuarios le da más ""likes"" en esta red social. #estadisticastwitter 
@rppnoticias @canaln_ @willaxtv @exitosape https://t.co/ghbk91nhon",2021-10-18 23:59:59 UTC,arturojb18
"@httpchoripan yo quería que gane tigre igual, y últimamente ni un partido están ganando 😂",2021-10-18 23:59:59 UTC,yoeltesoro
"rt @rodriguezmanuel: un fantasma recorre chile: el fantasma de la desigualdad, del abuso, de la injusticia y la corrupción.",2021-10-18 23:59:59 UTC,rodolfomatus
rt @corleonesito: el gesto técnico del choreo en chile. https://t.co/hpmmlann2i,2021-10-18 23:59:59 UTC,felipe_M500
rt @_frankyjalisco_: solo para recordar https://t.co/95dkjpudta,2021-10-18 23:59:59 UTC,AtilaGorzo
"rt @cesarleivarubio: sabían que delincuentes iban a saquear, aprovechando el momento. el resguardo no ha sido suficiente porque que se desaten saqueos es algo que al gobierno electoralmente le conviene. a no pisar el palito. la delincuencia se condena, la de piñera y la del que saquea tvs",2021-10-18 23:59:59 UTC,miguelon_conce
@alex_yassmin buenas noches.,2021-10-18 23:59:59 UTC,LEFEVRE37203213
rt @nadaldiplo: intensa emoción hoy al escuchar la joven pianista francesa luana kaslin interpretar « une barque sur l’océan » de maurice ravel en el templo de la música venezolana en la sede del @elsistema en el marco del festival europeo de jóvenes solistas organizado por la @ueenvenezuela. https://t.co/szi3jbv5u5,2021-10-18 23:59:59 UTC,noeliad60433635
@00000sam0000 guarra como te atreves a decir eso https://t.co/3vdawnlzuw,2021-10-18 23:59:59 UTC,03Ulde
"@jaoposition euu pff

pirata trailer",2021-10-18 23:59:59 UTC,shawniedijk
rt @metroymedio2: hice uno. https://t.co/dnozkotujn,2021-10-18 23:59:59 UTC,maffenovoa
"rt @alespap: ¡alerta perú! 🔴⚫estas ref0rmas laborales nefastas para los trabajadores:
 
cinco proyectos de ley, promovidos por la bancada de acción popular y con la firma de la presidenta del congreso, maricarmen alva, que pretenden eliminar beneficios de ley https://t.co/6ybxnotrrx",2021-10-18 23:59:59 UTC,pattyromero11
@9597files pásame tu correo y eso,2021-10-18 23:59:59 UTC,ccaburrido
"rt @piensaprensa: la serena: rinden homenaje a romario veloz, joven asesinado por militares. https://t.co/niddr4q7tm",2021-10-18 23:59:59 UTC,penacastro621
"rt @rafauccman: eu sou simplesmente apaixonada pelo natal:  decoração,comidas,p̶a̶r̶e̶n̶t̶e̶s̶,filmes natalinos",2021-10-18 23:59:59 UTC,dannyribas10
"rt @trevinianas: aquí esta la portada oficial de #ensayandocomopedirteperdon el nuevo sencillo de nuestra @gloriatrevi que se estrena este 21.10.21.

faltan 3 días. hoy desperté con el pie izquierdo...🎶🎶🎶 https://t.co/lqmu6wkzbi",2021-10-18 23:59:59 UTC,DcassiaDulce
"✯ @donreborn2 ✯
¡muchas gracias por el directazo de hoy! todo muy de chill junto a rap, desst y rhiex, las risas fueron de lo mejor. descansa mucho, rey. ¡feliz 19! ♡˗",2021-10-18 23:59:59 UTC,andy505
"rt @germanjeshu: vuelvo a subir el tuit
extrañamente el anterior se eliminó 
infiltrados en la manifestación 
los pacos solo los graban https://t.co/l0z9366a9e",2021-10-18 23:59:59 UTC,atorrest
@ihstpwk famosita,2021-10-18 23:59:59 UTC,cvrizona
"rt @feriglesias: sin hélice y sin timón, como el país
https://t.co/tagxutf0bz",2021-10-18 23:59:59 UTC,El_Chebyta
@ssuazae escríbenos por mensaje interno o a https://t.co/ntfjsch9ap para mirar qué puede estar pasando y encontrar juntos una solución.,2021-10-18 23:59:59 UTC,Nequi
queria sumir,2021-10-18 23:59:59 UTC,swiift993
me descargue un juego de 5gb en como 2 horas para volverlo a desinstalar porque es una completa basura,2021-10-18 23:59:59 UTC,Hub_Luna28
"rt @juampimanera22: ¿es el grupo pachuca dueño de talleres? no. en argentina está prohibida la incursión de empresas en los clubes de fútbol. es decir que el conjunto cordobés continuó siendo una asociación civil que pertenece a sus socios, no una sociedad anónima. https://t.co/4vq4rgzynq",2021-10-18 23:59:59 UTC,ANDRESGUAPA1
esoooo anahiiiii de nuevooooooo diciendo ló que queremos #lcdlf,2021-10-18 23:59:59 UTC,DecyreeKloset
"rt @alferdez: anunciamos un aumento salarial del 10% para investigadoras e investigadores del conicet.

desde noviembre, el salario real de 15 mil personas será 18% mayor al de 2019. es nuestro deber que su remuneración esté a la altura de su excelencia y del enorme esfuerzo que han hecho. https://t.co/z9j0tqv7iv",2021-10-18 23:59:59 UTC,lucas_vazquezz1
"rt @etupito: yo no quiero sospechar que las redes nos vigilan pero googlié neumaticos porque quería saber maso cuanto salen y ahora abro facebook y me aparecen ofertas de neumaticos, abro instagram y me aparecen 4×3 en neumaticos, abro la puerta y hay un gordo queriendo venderme neumaticos🤷‍♀️",2021-10-18 23:59:59 UTC,gachiedi60
espero que se te de aunque sea con alguien más,2021-10-18 23:59:59 UTC,nahilpm
"rt @yerayherr: q sea viernes ya 
q sea viernes ya 
q sea viernes ya 
q sea viernes ya",2021-10-18 23:59:59 UTC,luchi_m26
"@gonziver gonza, yo voto a espert y el resto me chupa un huevo.",2021-10-18 23:59:59 UTC,garagemusical1
"@pinokiefer lo curioso es que una alianzas les gustan, y las apoyan, y otras igual de cuestionables las rechazan con el discurso de superioridad moral que ya nadie les cree.",2021-10-18 23:59:59 UTC,ginamonteli
rt @golncxt: odio https://t.co/ryot8rityz,2021-10-18 23:59:59 UTC,gabriellebellof
"hahahahahahahaha... ese tipo qué, salió de la nada, se cree un ser de luz. https://t.co/cbuag8cmta",2021-10-18 23:59:59 UTC,BostonwriterBS
cara de trola roba machos https://t.co/tavqsvkdob,2021-10-18 23:59:59 UTC,hernandezcarli_
no me pregunten nada porque voy a estar respondiendo a todo con un necesitás nombres boludita?saben?,2021-10-18 23:59:59 UTC,NenaDeSandro
@wafflegg21 es el ojito de mi mujer,2021-10-18 23:59:59 UTC,dkyp12
"rt @patyper: se vienen denuncias en contra de jorge gaviño,exdirector del metro,contra la también exdirectora florencia serranía, contra el exjefe de gobierno de la capital, miguel ángel mancera, y contra antonio esteva, por la línea 12.",2021-10-18 23:59:59 UTC,cecy12114386
"no superó que mis amistades se muevan tan rápido por mi cuando me siento mal, estoy bendecida con ellos.",2021-10-18 23:59:59 UTC,Dayralanza
"rt @libernautas: cae sebastián y cae guillermo
se tenía que decir y se dijo!
#pandorapapers",2021-10-18 23:59:59 UTC,angelin_cv
"rt @genesisgibelli: un hijo es una bendición y es un vínculo que tendrás con alguien para toda la vida, háganse el favor de no estar pariendoles a cualquier pelagato",2021-10-18 23:59:59 UTC,abeelGonzalez1
"rt @camilaemiliasv: para elisa loncon el #18deoctubre ganó la democracia y la ciudadanía ¿en que mundo vive? ¿que se fumó? quemaron todo chile, saquearon 14 mil mipymes. esta mujer habla de democracia y pide indultos a delincuentes  y niega un minuto de silencio para dos chilenos #nadaquecelebrar https://t.co/ihmc8gb24o",2021-10-18 23:59:59 UTC,Sajubare
@franast3 @ilonmusk4 @soyrecoletano @laredtv comentario digno tuyo,2021-10-18 23:59:59 UTC,Alejand41647081
"rt @paraguayreporta: 🔗 min público evitando nombrar fiscal caso denuncia penal por graves delitos atribuidos a nenecho rodríguez y w. caceres 

🔗 nenecho rodríguez sería protegido de alguien el denunciado y municipalidad piden más prórroga entrampando proceso

¿impunidad, complicidad o padrinazgo? https://t.co/sewwn0vgzz",2021-10-18 23:59:59 UTC,Teodosi11177139
"rt @adancortezcs: #tepexigobiernoprogresista, solo en los ayuntamientos donde gobierna antorcha se ven los resultados que ase antorcha campesina . https://t.co/pncrqi9vhe",2021-10-18 23:59:59 UTC,EfrenLucas8
"rt @robertlobo_: #ahora maduro: ""lo torturaron durante semanas (álex saab), lo desfiguraron, le sacaron 3 muelas, le metieron electricidad. fue gente q venían de eeuu, lo torturaron de manera cruel. llegó a pesar 40 kgs, estuvo a punto de morir. se logró q cesaran las torturas""",2021-10-18 23:59:59 UTC,abejadulcemiel
@sebastiansichel amigo ud no saldría ni que quemaran plaza@dignidad 🙄 https://t.co/4z8woquzlt,2021-10-18 23:59:59 UTC,cotetita88
rt @pisciscool1: no tengo nada q ocultar pero nmms no agarres mi cel,2021-10-18 23:59:59 UTC,claudia_fdz_
"@sebastianpinera, la mina "" dominga"" es lo de menos, tendrás que responder por los asesinados, violados, desaparecidos, torturados por los carabineros bajo tu ordenes. https://t.co/zt4x9ht0gx",2021-10-18 23:59:59 UTC,ArielMA1963
jajajajajajaja vivan los nobioooosss https://t.co/qxbdzbn4uz,2021-10-18 23:59:59 UTC,YangYixuanBot
simp de relaciones ajenas,2021-10-18 23:59:59 UTC,nataliamrn_
"@anttokrolo_73 algunos amigos se alquilan, consultar con algún abogado, suelen tener esos contactos",2021-10-18 23:59:59 UTC,lingber_
hermano me acabas de poner la red flag en la cara 🚩,2021-10-18 23:59:59 UTC,ClaraDrago2
rt @honeyfull: ¿os acordáis cuando nos enfocaban a cris y luca? yo tampoco #secret18o https://t.co/ukcygrwdl4,2021-10-18 23:59:59 UTC,Famaraxx
"rt @zetaorlando: ¿se imaginan si el gobierno se apoya en la economía popular y replica en todos los barrios el proyecto de la @uttnacional de vender alimentos sanos y baratos del campo a los hogares?

bajaría la inflación, quitaría peso a formadores de precio, contribuiría a orgas sociales. https://t.co/vmsxq5sigt",2021-10-18 23:59:59 UTC,DannBustamante
"rt @escritoxxx: yo: nadie me habla
alguien: hola
yo: no vos no",2021-10-18 23:59:59 UTC,fannuixx
rt @erickisback1: dice reyna que amlo y durazo son iguales a los anteriores porque no intervienen en el poder judicial como hacían los anteriores,2021-10-18 23:59:59 UTC,Fran53458223
feliz lunes https://t.co/giw53qlb4p,2021-10-18 23:59:59 UTC,timodelangelr
rt @karlarboledas: un día se me ocurrió poner el movil en silencio y así se ha quedado,2021-10-18 23:59:59 UTC,andreabarreena_
rt @ilustracionxs: mi mood últimamente https://t.co/so94sj9ri9,2021-10-18 23:59:59 UTC,goldenmommyyy
"rt @foro_tv: se incendia edificio de departamentos en cuajimalpa, cdmx
https://t.co/apbmiihzs4 https://t.co/5gwyxhhbnu",2021-10-18 23:59:59 UTC,Ausenci15187072
rt @alertadesismo: delincuentes comienzan a romper santiago ➡ https://t.co/vvqndszsdm https://t.co/rzcexnnf5z,2021-10-18 23:59:59 UTC,thanos_siempre
"rt @jjcc_chile: 🔴 por mario, por gustavo, por fabiola, por ti, por el futuro, por todos y por todas: sigamos luchando hasta que la dignidad sea una realidad ✊🏽🇨🇱 #estallidosocial #18deoctubre https://t.co/yjfxeu4ptn",2021-10-18 23:59:59 UTC,AThaaN_Adel
rt @axelgxmxnxz: creer que la solución a la infidelidad es el poliamor es como decirle a un ludópata que ponga un plazo fijo en vez de patinarse el aguinaldo,2021-10-18 23:59:59 UTC,alancrist92
@juanborrelli herminia martínez y eduardo serrano.,2021-10-18 23:59:59 UTC,MarianelaPrezL4
"rt @snat_76: una dura batalla,que necesita más inversión para plantearle cara. 
#diacontraelcancerdemama https://t.co/tdis6w89hr",2021-10-18 23:59:59 UTC,M21Brito
rt @desimpedidos: quando toca no calleri exquece https://t.co/qjzobztapu,2021-10-18 23:59:59 UTC,nogueirabiel03
"@jucaviapri que mi jefa no vuelva a tener cáncer.

lo demás me lo consigo yo.",2021-10-18 23:59:59 UTC,Black_mamba951
"esos chismes de tw millos confirman la hermandad láctea de la hinchada. todas las pruebas, cero dudas.",2021-10-18 23:59:59 UTC,Juank_Reyes
"rt @cesocerezo: @aracelibs quitémosle el -just dance-, es mega peligroso, así como mentir y no comprar los tratamientos que dan vida. 
¡carajo!",2021-10-18 23:59:59 UTC,Rogger77214820
@tomashht jajajajajja que hdp jajajaja,2021-10-18 23:59:59 UTC,RCapG_
"rt @qu3aburrimient0: comunicado de eduardo gatti respecto al plagio de su obra, utilizada de forma inescrupulosa en la campaña de kast
#estallidosocial #plazadignidad #18oct #18deoctubre #plagio https://t.co/pmmgheqikq",2021-10-18 23:59:59 UTC,barrocoaustral
q felicidatttttttt,2021-10-18 23:59:59 UTC,nanii_ponce
"la amo, me casaría con chloé zhao. mujer talentosa si las hay https://t.co/0wwpj7klo6",2021-10-18 23:59:59 UTC,JPLlanosGarcia
"@ciudadanodeb1en @camaritavaquero @pluralidadz calzado de brasil lo he comprado hace 20 años a arturo calle, cueros vélez y mario hernández, igual los que venden en eeuu de marcas como keneth cole, tomy y calvin klein tienen etiquetas de hecho en china y no por eso no los compran los americanos",2021-10-18 23:59:59 UTC,Alejorami65
rt @fuerzacerati: tanto hambre sin satisfacción.,2021-10-18 23:59:59 UTC,natichufli
"@butterspilled rechiflado""",2021-10-18 23:59:59 UTC,Leticiacalde_
rt @orlvndoa: la transición que le corresponde a cada chavista e individuo que robó en venezuela: https://t.co/sggb8kqrcf,2021-10-18 23:59:59 UTC,menteactiva
"@kapitulatamara le gustará la china quizás jajaja
@kapitulatamara",2021-10-18 23:59:59 UTC,EnzoSalgado12
@soy_502 es para emitir las multas fantasma y seguir llenando la caleta de @netobran. la @munimixco_ con su pmt son otro caso más de extorsión por medio de las infracciones y multas inexistentes!,2021-10-18 23:59:59 UTC,d09f35578704492
"vaya, ¿cómo llegué a este punto donde ya no me importa nada y no quiero nada?
🥺",2021-10-18 23:59:59 UTC,anettenova
"rt @anielbigio: la industria gastronómica se reinventa. en la isla -santurce- no hay meseros; llegas, escoges mesa, escaneas el código, ordenas, pagas y te sirven. además, son un establecimiento consciente, pues no generan basura. abiertos de 9 a 3 martes a domingo y el café es rico. 💚 https://t.co/kkv7lnaxms",2021-10-18 23:59:59 UTC,angie_cabello
ayuda billkie te amo,2021-10-18 23:59:59 UTC,lthcomet
rt @elperiodiquito: #mundo defensa de saab consideró “ilegal” su extradición a estados unidos https://t.co/bnuo4degkj https://t.co/wmn0urhw45,2021-10-18 23:59:59 UTC,JorgecPSUV
rt @leyreesegoviia: green flag: te hace reir en tus peores momentos,2021-10-18 23:59:59 UTC,danuuuwu
@shadysnipz elloooooo ☺️☺️☺️,2021-10-18 23:59:59 UTC,xFleeka
"rt @juancads: @laderechadiario ""no he sido nunca ni seré marxista-leninista y si lo fuera, tendría el valor suficiente para proclamarlo"" (fidel castro, sierra maestra - 1959). tácticas y estrategias del engaño comunista.",2021-10-18 23:59:59 UTC,Aldair16435455
